,loss,floss,closs,tloss,vloss,FCEnum,volume
0,2831.062082230812,0.0011222296161577106,74.78954315185547,0.08341271430253983,78.2587661743164,0.0,0.03759765625
1,83.4908344502328,3.1367169867735356e-05,1.081737756729126,2.980508804321289,94.1341323852539,0.0,0.004150390625
2,5.081714244210161,0.0,0.05343320965766907,5.199465751647949,96.79761505126953,0.0,0.0009765625
3,2.671621011744719,0.0,0.021993042901158333,6.025317192077637,97.37492370605469,0.0,0.000244140625
4,2.1996088749729097,0.0,0.0157938152551651,6.015144348144531,97.83116912841797,0.0,0.000244140625
5,1.8173924871953204,0.0,0.01079633180052042,6.278097152709961,98.02020263671875,0.0,0.000244140625
6,1.4051978905918077,0.0,0.0054262964986264706,6.423282146453857,98.1094741821289,0.0,0.000244140625
7,0.9895263732178137,0.0,0.0,6.435245990753174,98.30915832519531,0.0,0.000244140625
8,0.989214654895477,0.0,1.0820292573043844e-06,6.121315002441406,98.30103302001953,0.0,0.0
9,0.9917480479343794,0.0,0.0,6.3599958419799805,98.53880310058594,0.0,0.000244140625
10,0.991641134605743,0.0,0.0,6.662842273712158,98.4978256225586,0.0,0.000244140625
11,0.9954311066539958,0.0,2.2494996301247738e-05,6.475414276123047,98.72241973876953,0.0,0.0
12,0.9949296640697867,0.0,0.0,6.748384475708008,98.81813049316406,0.0,0.0
13,0.9943557174410671,0.0,0.0,6.694557189941406,98.76611328125,0.0,0.0
14,0.9938010476762429,0.0,0.0,6.692440986633301,98.71084594726562,0.0,0.0
15,0.9933915332658216,0.0,0.0,6.874334335327148,98.65172576904297,0.0,0.0
16,0.9928317557205446,0.0,0.0,6.941085338592529,98.58905029296875,0.0,0.0
17,0.9923847402678803,0.0,0.0,7.1636176109313965,98.52212524414062,0.0,0.0
18,0.9911163221113384,0.0,0.0,6.606271266937256,98.45098114013672,0.0,0.0
19,0.990414458559826,0.0,0.0,6.659501552581787,98.3755111694336,0.0,0.0
20,0.9893816268304363,0.0,0.0,6.42690372467041,98.29548645019531,0.0,0.0
21,0.9886984965996817,0.0,0.0,6.589978218078613,98.21084594726562,0.0,0.0
22,0.9880040055140853,0.0,0.0,6.795032978057861,98.12088012695312,0.0,0.0
23,0.9866493693552911,0.0,0.0,6.390604019165039,98.02588653564453,0.0,0.0
24,0.9860422565834597,0.0,0.0,6.788832187652588,97.92533874511719,0.0,0.0
25,0.9848953373730183,0.0,0.0,6.7093987464904785,97.81858825683594,0.0,0.0
26,0.9835668855812401,0.0,0.0,6.512133598327637,97.70549774169922,0.0,0.0
27,0.9823743130546063,0.0,0.0,6.514603614807129,97.58596801757812,0.0,0.0
28,0.9812686963705346,0.0,0.0,6.675857067108154,97.45928955078125,0.0,0.0
29,0.9800328762503341,0.0,0.0,6.778375625610352,97.32544708251953,0.0,0.0
